Abilities,Alter ego,Created by,First appearance,Full name,Notable aliases,Partnerships,Place of origin,Publisher,Species,Team affiliations,name,source_url
"Superhuman strength, speed, agility, reflexes, stamina, and durability, Ability to cling to solid surfaces, Precognitive spider-sense, Genius-level intellect, Skilled martial artist and hand-to-hand combatant, Proficient scientist and engineer, Utilizes wrist-mounted web-shooters",Peter Benjamin Parker,Stan Lee Steve Ditko,Amazing Fantasy #15 (August 1962),,,"Black Cat, Miles Morales, Silk","Queens , New York City",Marvel Comics,,"Avengers, Fantastic Four, Secret Defenders, Future Foundation, Daily Bugle, Heroes for Hire, Mighty Avengers, New Avengers, Spider-Army / Web-Warriors",Spider-Man,https://en.wikipedia.org/wiki/Spider-Man
"Genius-level intellect, Proficient scientist and engineer, Utilizes powered armor suit",,"Stan Lee (editor/concept), Larry Lieber (writer), Don Heck (artist/design), Jack Kirby (design)",Tales of Suspense #39 (December 1962),Anthony Edward Stark,,"Happy Hogan, Ironheart, Pepper Potts, War Machine","Long Island, New York",Marvel Comics,,"Avengers, Department of Defense, Guardians of the Galaxy, Illuminati, Mighty Avengers, New Avengers, S.H.I.E.L.D., Stark Industries",Iron Man,https://en.wikipedia.org/wiki/Iron_Man_(character)
"Enhanced to peak human physical perfection by the Super-Soldier Serum, Master martial artist and hand-to-hand combatant, Master tactician and strategist, Wields a virtually indestructible shield",,Joe Simon Jack Kirby,"Captain America Comics #1 (December 20, 1940) [ b ]",Steven Rogers,"Nomad , The Captain","Bucky Barnes, Sam Wilson, Sharon Carter",New York City,Marvel Comics [ a ],,"Avengers, All-Winners Squad, Invaders, S.H.I.E.L.D., U.S. Army",Captain America,https://en.wikipedia.org/wiki/Captain_America
"Superhuman strength , speed, stamina, agility, durability, reflexes, healing, and longevity, Weather manipulation, Master hand-to-hand combatant, Weapon Mjolnir , with following properties: Near-indestructible and returns to Thor's hand when thrown Flight Energy Projection Dimensional travel, Near-indestructible and returns to Thor's hand when thrown, Flight, Energy Projection, Dimensional travel",,Stan Lee (writer/plotter) Larry Lieber (writer/scripter) Jack Kirby (artist),Journey into Mystery #83 (August 1962),Thor Odinson,Donald Blake Jake Olson Eric Masterson,"Sif, Warriors Three, Balder the Brave, Jane Foster, Captain America, Iron Man, Beta Ray Bill, Hercules",Asgard,Marvel Comics,Asgardian,Avengers,Thor,https://en.wikipedia.org/wiki/Thor_(Marvel_Comics)
"As Bruce Banner: Genius level intellect Proficient scientist and engineer As Hulk: Enormous superhuman strength , speed , stamina, agility , reflexes, senses, durability, endurance, and longevity Invulnerability Anger empowerment Regeneration Super jumps Shockwave generation Energy absorption Gamma ray emission and manipulation Ability to breathe underwater, breathe in space and see ghosts and other astral entities, Genius level intellect, Proficient scientist and engineer, Enormous superhuman strength , speed , stamina, agility , reflexes, senses, durability, endurance, and longevity, Invulnerability, Anger empowerment, Regeneration, Super jumps, Shockwave generation, Energy absorption, Gamma ray emission and manipulation, Ability to breathe underwater, breathe in space and see ghosts and other astral entities",,Stan Lee Jack Kirby,The Incredible Hulk #1 (May 1962),Robert Bruce Banner [ 1 ],"The Incredible Hulk, Joe Fixit, World-Breaker, Devil Hulk , Jade Giant, Jade Jaws, [ 3 ] Doc Green, Guilt Hulk/Guilt , War",She-Hulk,,Marvel Comics,Human mutate [ a ],Avengers Defenders Horsemen of Apocalypse Fantastic Four [ 2 ] Pantheon Warbound Secret Avengers,Hulk,https://en.wikipedia.org/wiki/Hulk_(comics)
"Expert markswoman and mastery of various weapons, Expert martial artist and hand-to-hand combatant, Slowed aging, and enhanced immune system, Expert spy, Equipment via gauntlets granting: Electroshock weapon Explosives Grappling hook Knock out gas Radio transmitter, Electroshock weapon, Explosives, Grappling hook, Knock out gas, Radio transmitter",,Stan Lee (editor/plotter) Don Rico (writer) Don Heck (artist),Tales of Suspense #52 (April 1964),Natalia Alianovna Romanova,Natasha Romanoff,Daredevil Hawkeye Winter Soldier,Soviet Union,Marvel Comics,,"Avengers, Champions, KGB, Marvel Knights, Secret Avengers, S.H.I.E.L.D.",Black Widow,https://en.wikipedia.org/wiki/Black_Widow_(Natasha_Romanova)
"The power to draw upon the knowledge, strength and every experience of every previous Black Panther, Enhanced strength, endurance, speed, agility, reflexes, stamina and senses, Master hand-to-hand combatant and martial artist, Highly proficient tactician, strategist and inventor, Genius-level intellect, Utilizing vibranium suit and equipment",,Stan Lee Jack Kirby,Fantastic Four #52 (July 1966),T'Challa,Black Leopard Black Panther Mr. Okonkwo Panther King,Storm Shuri,Wakanda,Marvel Comics,,Avengers Fantastic Four Mighty Avengers Fantastic Force New Avengers Ultimates The Crew,Black Panther,https://en.wikipedia.org/wiki/Black_Panther_(character)
"Mastery of magic and martial arts, Mystical equipment usage, Genius -level intellect",,Steve Ditko (writer/artist),Strange Tales #110 (July 1963),Stephen Vincent Strange,"Master of the Mystic Arts [ 1 ], Master of Black Magic [ 2 ], Sorcerer Supreme [ 3 ], Strange, Stephen Sanders, Captain Universe, Vincent Stevens, Void [ 4 ]","Clea, Wong, Ancient One",,Marvel Comics,Human,"Avengers, Defenders, Illuminati, Infinity Watch, Midnight Sons, New Avengers, The Order",Doctor Strange,https://en.wikipedia.org/wiki/Doctor_Strange
"Superhuman genes allow energy and reality manipulation and powerful access to magical energies, such as chaos magic [ 5 ], Telekinesis, Mind controlling and manipulation, Probability manipulation, Ability to sense magic, Spell casting, witchcraft and black magic, Flight",,Stan Lee (writer) Jack Kirby (artist),The X-Men #4 (March 1964),,Scarlet Witch Wanda Frank Queen of Chaos [ 3 ] Empress of Magic [ 4 ],"Quicksilver, Vision","Mount Wundagore, Transia (originally) [ 1 ] Serbia ( retconned ) [ 2 ]",Marvel Comics,Human mutant (originally) Human mutate ( retconned ),"Avengers, Brotherhood of Mutants, Defenders, Force Works, Lady Liberators",Scarlet Witch,https://en.wikipedia.org/wiki/Scarlet_Witch
"Enhanced strength, speed, agility, reflexes, stamina, durability and senses, Indestructible bones via adamantium, Retractable adamantium claws, Regenerative healing factor, Extended longevity, Master of various forms of combat, Skilled strategist and tactician","James ""Logan"" Howlett","Len Wein (writer), John Romita Sr. (design), Herb Trimpe (artist)",The Incredible Hulk #180 (October 1974),,"Logan, Patch, Weapon X",,"Cold Lake, Alberta , Canada",Marvel Comics,Human mutant,"X-Men, Avengers, X-Force, Team X, Savage Avengers, Alpha Flight, Canadian Army, New Fantastic Four",Wolverine,https://en.wikipedia.org/wiki/Wolverine_(character)
